Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Fare_Log
0,3,1,-0.5510595194824094,0.47587560314134286,-0.5007544611783037,-0.5275147920390657,2,0.7600699247782685
1,1,0,0.6119446643175355,0.47587560314134286,-0.5007544611783037,0.6950862020362649,0,1.2122465041681494
1,3,0,-0.2603084735324231,-0.5345451980491797,-0.5007544611783037,-0.5146268779224913,2,0.7660786594278818
1,1,0,0.3938813798550457,0.47587560314134286,-0.5007544611783037,0.3479087075830671,2,1.1032180803193525
0,3,1,0.3938813798550457,-0.5345451980491797,-0.5007544611783037,-0.5122402271601627,2,0.7671874367860494
0,3,1,-0.11493295055743012,-0.5345451980491797,-0.5007544611783037,-0.5044444711100926,1,0.7708006046955013
0,1,1,1.7749488481174804,-0.5345451980491797,-0.5007544611783037,0.32428086503601383,2,1.0953474319154595
0,3,1,-2.00481474923234,2.496717205522388,0.6896894265922036,-0.2635512177255219,2,0.876463791510184
1,3,0,-0.1876207120449266,-0.5345451980491797,1.8801333143627106,-0.45337014479626037,2,0.7941549127420375
1,2,0,-1.1325616113823815,0.47587560314134286,-0.5007544611783037,-0.09179255430347655,0,0.9455185985667061
1,3,0,-1.859439226257347,0.47587560314134286,0.6896894265922036,-0.34708399440702314,2,0.8410741942844379
1,1,0,2.065699894067467,-0.5345451980491797,-0.5007544611783037,-0.15901591433552895,2,0.9190567516792976
0,3,1,-0.6964350424574023,-0.5345451980491797,-0.5007544611783037,-0.5122402271601627,2,0.7671874367860494
0,3,1,0.6846324258050319,0.47587560314134286,5.451464977674233,-0.06880051551950765,2,0.9544108475670382
0,3,0,-1.1325616113823815,-0.5345451980491797,-0.5007544611783037,-0.5159786769142742,2,0.7654501021402886
1,2,0,1.8476366096049772,-0.5345451980491797,-0.5007544611783037,-0.3604492386760633,2,0.835293798022089
0,3,1,-2.00481474923234,3.50713800671291,0.6896894265922036,-0.10985090863155964,1,0.9384786014805386
1,2,1,-0.11493295055743012,-0.5345451980491797,-0.5007544611783037,-0.4177288569719499,2,0.8101350909801022
0,3,0,0.10313033390505968,0.47587560314134286,-0.5007544611783037,-0.3222628264788056,2,0.8517213664317062
1,3,0,-0.11493295055743012,-0.5345451980491797,-0.5007544611783037,-0.5279921221915316,0,0.7598466841838859
0,2,1,0.3938813798550457,-0.5345451980491797,-0.5007544611783037,-0.1695171776897748,2,0.914859050933651
1,2,1,0.32119361836754917,-0.5345451980491797,-0.5007544611783037,-0.4177288569719499,2,0.8101350909801022
1,3,0,-1.059873849894885,-0.5345451980491797,-0.5007544611783037,-0.5126373658470142,1,0.7670030214774168
1,1,1,-0.11493295055743012,-0.5345451980491797,-0.5007544611783037,0.01186828024719934,2,0.9849988543177731
0,3,0,-1.5686881803073607,2.496717205522388,0.6896894265922036,-0.2635512177255219,2,0.876463791510184
1,3,0,0.6119446643175355,0.47587560314134286,5.451464977674233,-0.06665252983341187,2,0.9552375638410668
0,3,1,-0.11493295055743012,-0.5345451980491797,-0.5007544611783037,-0.5279921221915316,0,0.7598466841838859
0,1,1,-0.7691228039448987,2.496717205522388,1.8801333143627106,4.355572667685264,2,1.94897875092556
1,3,0,-0.11493295055743012,-0.5345451980491797,-0.5007544611783037,-0.5155013467618085,1,0.7656720954609143
0,3,1,-0.11493295055743012,-0.5345451980491797,-0.5007544611783037,-0.5151843995405713,2,0.7658194718052899
0,1,1,0.7573201872925285,-0.5345451980491797,-0.5007544611783037,-0.1366615886352543,0,0.9279342611777847
1,1,0,-0.11493295055743012,0.47587560314134286,-0.5007544611783037,2.1316112958818536,0,1.5681057528300948
1,3,0,-0.11493295055743012,-0.5345451980491797,-0.5007544611783037,-0.5179681889897514,1,0.7645243028507036
0,2,1,2.647201985967439,-0.5345451980491797,-0.5007544611783037,-0.46546187221852203,2,0.7886749112599956
0,1,1,-0.11493295055743012,0.47587560314134286,-0.5007544611783037,0.9029634834350868,0,1.272258551372299
0,1,1,0.9026957102675218,0.47587560314134286,-0.5007544611783037,0.32690618087457535,2,1.0962250137698162
1,3,1,-0.11493295055743012,-0.5345451980491797,-0.5007544611783037,-0.5279119307259174,0,0.759884192086878
